variant,condition,seed,last_generation,final_fitness,final_distance,final_variance,mean_n_parents,mean_median_offspring,mean_max_offspring,survived,extinct_at
no_noise,baseline,0,459,0.026715825421501603,0.5355141687552583,0.0020608979016544155,63.471739130434784,1.0739130434782609,4.2043478260869565,True,
no_noise,baseline,1,459,0.017976494736789094,0.5671922782681974,0.0003521094769262728,63.37391304347826,1.0782608695652174,4.210869565217391,True,
no_noise,baseline,2,459,0.057011448224473134,0.4769096274179237,0.0015459148404841493,63.44130434782609,1.0641304347826086,4.195652173913044,True,
no_noise,baseline,3,459,0.014152543175161706,0.5863062774474718,0.00037868252990846046,63.4804347826087,1.0630434782608695,4.189130434782609,True,
no_noise,baseline,4,459,0.017240976840887007,0.5711831701588734,0.0008390395045700844,63.59347826086957,1.066304347826087,4.26304347826087,True,
no_noise,baseline,5,459,0.020460117623240893,0.5611658668189987,0.0006709880213622858,63.608695652173914,1.058695652173913,4.254347826086956,True,
no_noise,baseline,6,459,0.014563395377224682,0.5727787769484338,0.00313019508178178,63.37608695652174,1.065217391304348,4.217391304347826,True,
no_noise,baseline,7,459,0.017438673014258728,0.5617399361999479,0.0034038896044373806,63.369565217391305,1.0619565217391305,4.269565217391304,True,
no_noise,baseline,8,459,0.02048877884730287,0.5480204613268357,0.003074759557436158,63.447826086956525,1.048913043478261,4.278260869565218,True,
no_noise,baseline,9,459,0.025778729592321536,0.5466496154720677,0.0010499265762761681,63.23695652173913,1.0793478260869565,4.271739130434782,True,
no_noise,baseline,10,459,0.04790160423345211,0.48876165674757704,0.002167842176045488,63.53913043478261,1.0684782608695653,4.252173913043478,True,
no_noise,baseline,11,459,0.026685119907963486,0.5404540902139396,0.0004711233018619239,63.51304347826087,1.0684782608695653,4.202173913043478,True,
no_noise,baseline,12,459,0.019647914429878538,0.5662952640810482,0.0008560801018022508,63.36521739130435,1.0706521739130435,4.160869565217391,True,
no_noise,baseline,13,459,0.04192280369371947,0.4980496174710134,0.0021358879313200544,63.552173913043475,1.059782608695652,4.304347826086956,True,
no_noise,baseline,14,459,0.012383670854902624,0.5929533791210457,0.00014097948873387334,63.345652173913045,1.0684782608695653,4.206521739130435,True,
no_noise,baseline,15,459,0.021297686506760657,0.5560524674186376,0.0004605004955653899,63.42173913043478,1.076086956521739,4.163043478260869,True,
